,bytesSent,bytesReceived,testNum,codec,enc_type,spatial,temporal,recordedTime,atCorrectResTime,correctResPerc,correctedFromFrozen,jitterBufferDelay,totalAssemblyTime,totalDecodeTime,totalFreezesDuration,totalInterFrameDelay,totalSquaredInterFrameDelay,totalPausesDuration,totalProcessingDelay,framesDecoded,framesDropped,framesReceived,freezeCount
281,27540,892155,353,video_vp9,simulcast,0,2,27999.0,15999.0,57.14132647594556,0.0,11.537438,0.600924,1.3581109999999998,0.0,28.045,1.2562969999999951,0,12.980892,756,0,756,0
281,22707,1005977,354,video_vp9,simulcast,1,0,28000.0,7536.029052734375,26.914389474051337,6263.970947265625,7.78597,1.351005,1.193848,6.49,26.483,21.150891,0,9.029639,431,25,432,3
281,24967,1161622,355,video_vp9,simulcast,1,1,28000.0,2391.130859375,8.53975306919643,3608.869140625,5.43746,1.3838279999999998,1.089433,10.256,28.027,30.404159000000007,0,6.575023,438,78,439,6
281,27581,1555724,356,video_vp9,simulcast,1,2,28000.0,2480.593994140625,8.859264264787946,1319.406005859375,7.180117999999999,1.734437,1.051052,8.953,28.028,21.602192000000045,0,8.284295,497,138,499,9
281,26519,1542886,357,video_vp9,simulcast,2,0,28000.0,0.0,0.0,0.0,9.370353,1.97077,0.413226,0.724,26.949,2.529091000000017,0,9.813733,564,34,565,2
281,27300,1607221,358,video_vp9,simulcast,2,1,28000.0,0.0,0.0,0.0,11.085203,2.134397,1.580658,5.36,27.935,12.222294999999992,0,12.72462,568,89,570,6
281,27115,1530016,359,video_vp9,simulcast,2,2,28000.0,0.0,0.0,0.0,8.627889999999999,1.602085,2.043474,3.163,28.027,11.454746999999989,0,10.713288,597,34,598,1
281,14579,290708,36,video_av1,svc,0,0,28000.0,26800.0,95.71428571428572,0.0,6.452789,1.006138,0.192243,0.0,17.68,2.497966,0,6.665467,132,0,132,0
281,18698,365879,37,video_av1,svc,0,1,28001.0,24559.0,87.707581872076,242.0,16.178238999999998,1.171369,0.359562,0.242,17.742,1.3667899999999982,0,16.553276999999998,253,1,254,1
281,20338,497500,38,video_av1,svc,0,2,28000.0,24730.0,88.32142857142857,270.0,28.051436,1.266319,0.600279,0.27,17.825,0.8791130000000005,0,28.694439,502,1,503,1
Unnamed 84,17978,633008,39,video_av1,svc,1,0,28000.0,12804.14697265625,45.72909633091518,9795.85302734375,7.504877,0.810944,0.179066,10.396,15.055,32.839457,0,7.6837,121,93,153,5
Unnamed 85,20001,783268,4,video_av1,svc,1,1,28000.0,12715.826904296875,45.413667515345985,9684.173095703125,5.562495999999999,1.053062,0.1764639999999999,10.325,14.853,32.037723,0,5.753638,121,171,176,5
281,19742,781963,40,video_av1,svc,1,1,28000.0,12905.97998046875,46.09278564453125,9694.02001953125,2.224133,0.937854,0.17643,10.235,14.808,32.004,0,2.421558,130,176,188,5
